2017-09-08T10:15:46.730+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:59436 #17 (3 connections now open)
2017-09-08T10:15:46.731+0800 I NETWORK  [conn17] received client metadata from 127.0.0.1:59436 conn17: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:15:46.748+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:59437 #18 (4 connections now open)
2017-09-08T10:15:46.748+0800 I NETWORK  [conn18] received client metadata from 127.0.0.1:59437 conn18: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:15:47.294+0800 I -        [conn18] end connection 127.0.0.1:59437 (4 connections now open)
2017-09-08T10:15:47.294+0800 I -        [conn17] end connection 127.0.0.1:59436 (3 connections now open)
2017-09-08T10:15:48.764+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:59444 #19 (3 connections now open)
2017-09-08T10:15:48.765+0800 I NETWORK  [conn19] received client metadata from 127.0.0.1:59444 conn19: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:15:48.773+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:59445 #20 (4 connections now open)
2017-09-08T10:15:48.773+0800 I NETWORK  [conn20] received client metadata from 127.0.0.1:59445 conn20: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:15:49.293+0800 I -        [conn20] end connection 127.0.0.1:59445 (4 connections now open)
2017-09-08T10:15:49.293+0800 I -        [conn19] end connection 127.0.0.1:59444 (3 connections now open)
2017-09-08T10:15:50.433+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:59455 #21 (3 connections now open)
